ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
HUG1289.lm:12	HUG	HUG_24	HUG1289	poem	12	6+6	82		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG129.lm:8	HUG	HUG_6	HUG129	poem	8	8	30		0.1	mètre simple		2022-06-12	
HUG1290.lm:12	HUG	HUG_24	HUG1290	poem	12	6+6	38		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1291.lm:12	HUG	HUG_24	HUG1291	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1291.lm:6	HUG	HUG_24	HUG1291	poem	6	6	6		0.1	mètre simple		2022-06-12	
HUG1292.lm:12	HUG	HUG_24	HUG1292	poem	12	6+6	18		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1293.lm:12	HUG	HUG_24	HUG1293	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1294.lm:12	HUG	HUG_24	HUG1294	poem	12	6+6	23		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1294.lm:6	HUG	HUG_24	HUG1294	poem	6	6	2		0.1	mètre simple		2022-06-12	
HUG1295.lm:12	HUG	HUG_24	HUG1295	poem	12	6+6	36		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1296.lm:12	HUG	HUG_24	HUG1296	poem	12	6+6	6		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1296.lm:6	HUG	HUG_24	HUG1296	poem	6	6	6		0.1	mètre simple		2022-06-12	
HUG1297.lm:12	HUG	HUG_24	HUG1297	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1298.lm:12	HUG	HUG_24	HUG1298	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1299.lm:12	HUG	HUG_24	HUG1299	poem	12	6+6	10		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG13.lm:12	HUG	HUG_15	HUG13	poem	12	6+6	40		1.1.2.1.1	profil traditionnel		2022-06-05	
HUG130.lm:10	HUG	HUG_6	HUG130	poem	10	4+6	8		1.1.2.1.1.1	profil traditionnel		2022-06-12	
HUG130.lm:2	HUG	HUG_6	HUG130	poem	2	2	16		0.1	mètre simple		2022-06-12	
HUG130.lm:3	HUG	HUG_6	HUG130	poem	3	3	16		0.1	mètre simple		2022-06-12	
HUG130.lm:4	HUG	HUG_6	HUG130	poem	4	4	16		0.1	mètre simple		2022-06-12	
